name,party,occupation,constituency
Mr. Frank Carney,Fianna Fáil,Military,Donegal
Mr. Francis Joseph Carty,Fianna Fáil,Farmer,Sligo-Mayo East
Ms. Kathleen Clarke,Fianna Fáil,Public Servant,Dublin Mid West
Mr. James Colbert,Fianna Fáil,Farmer,Limerick
Mr. Martin John Corry,Fianna Fáil,Farmer,Cork East
Mr. Tadhg Crowley,Fianna Fáil,Business,Limerick
Countess Constance Georgina de Markievicz,Fianna Fáil,,Dublin (St Patrick's)
Mr. Eamon de Valera,Fianna Fáil,Teacher,Clare East
Mr. Thomas Derrig,Fianna Fáil,Teacher,Mayo North and West
Mr. Frank Fahy,Fianna Fáil,Solicitor,Galway South
Mr. Andrew Fogarty,Fianna Fáil,Farmer,Tipperary
Mr. Sean (Cork Borough) French,Fianna Fáil,Business,Cork Borough
Mr. Seán Hayes,Fianna Fáil,Farmer,Tipperary
Mr. Samuel Edward Holt,Fianna Fáil,Public Servant,Leitrim-Sligo
Mr. Patrick Houlihan,Fianna Fáil,Farmer,Clare
Mr. Michael Joseph Kennedy,Fianna Fáil,Public Servant,Longford -Westmeath
Mr. Mark (Snr.) Killilea,Fianna Fáil,Farmer,Galway
Mr. Michael Kilroy,Fianna Fáil,Tradesman,Mayo South
Mr. Seán F. Lemass,Fianna Fáil,Tradesman,Dublin South
Mr. Patrick J. Little,Fianna Fáil,Solicitor,Waterford
Mr. Seán MacEntee,Fianna Fáil,Engineer,Monaghan South
Mr. Patrick McCarvill,Fianna Fáil,,Monaghan
Mr. Thomas (Snr.) McEllistrim,Fianna Fáil,Farmer,Kerry
Mr. S√©amus Moore,Fianna Fáil,Business,Wicklow
Mr. Eugene Mullen,Fianna Fáil,Teacher,Mayo South
Mr. Thomas Lincoln Mullins,Fianna Fáil,Journalist,Cork West
Mr. Patrick Joseph O'Dowd,Fianna Fáil,Medical,Roscommon
Mr. Seán T. O'Kelly,Fianna Fáil,Journalist,Dublin (College Green)
Mr. William O'Leary,Fianna Fáil,Farmer,Kerry
Mr. Matthew O'Reilly,Fianna Fáil,Farmer,Meath
Mr. Thomas (Kerry) O'Reilly,Fianna Fáil,Teacher,Kerry
Mr. Thomas P. Powell,Fianna Fáil,Teacher,Galway
Mr. Patrick J. Ruttledge,Fianna Fáil,Solicitor,Mayo North and West
Dr. James Ryan,Fianna Fáil,Medical,Wexford South
Mr. Patrick Smith,Fianna Fáil,Farmer,Cavan
Mr. John Tubridy,Fianna Fáil,Medical,Galway
Mr. Thomas Tynan,Fianna Fáil,Business,Leix-Offaly
Mr. James Victory,Fianna Fáil,Farmer,Longford -Westmeath
Mr. Richard Sidney Anthony,The Labour Party,Tradesman,Cork Borough
Mr. Henry Broderick,The Labour Party,Tradesman,Longford -Westmeath
Mr. Patrick Clancy,The Labour Party,Tradesman,Limerick
Mr. Hugh Colohan,The Labour Party,Tradesman,Kildare-Wicklow
Mr. Richard Corish,The Labour Party,Public Servant,Wexford
Mr. Denis Cullen,The Labour Party,Public Servant,Dublin North
Mr. William Davin,The Labour Party,Public Servant,Leix-Offaly
Mr. Edward Doyle,The Labour Party,Farmer,Carlow-Kilkenny
Mr. James Everett,The Labour Party,Public Servant,Kildare-Wicklow
Mr. John F. Gill,The Labour Party,Public Servant,Leix-Offaly
Mr. David Hall,The Labour Party,Farmer,Meath
Mr. Patrick Hogan,The Labour Party,Solicitor,Clare
Mr. Thomas Johnson,The Labour Party,Public Servant,Dublin County
Mr. Michael Keyes,The Labour Party,Public Servant,Limerick
Mr. Thomas Lawlor,The Labour Party,Public Servant,Dublin South
Mr. Gilbert Lynch,The Labour Party,Public Servant,Galway
Mr. Daniel Morrissey,The Labour Party,Business,Tipperary Mid North and South
Mr. Timothy Joseph Murphy,The Labour Party,Public Servant,Cork West
Mr. William O'Brien,The Labour Party,Public Servant,Dublin South
Mr. Thomas J. O'Connell,The Labour Party,Public Servant,Galway
Mr. Timothy Quill,The Labour Party,,Cork North
Mr. James Shannon,The Labour Party,Public Servant,Wexford
Mr. James Coburn,National League,Tradesman,Louth
Mr. William Duffy,National League,,Galway
Mr. John (Cork Borough) Horgan,National League,Tradesman,Cork Borough
Mr. John Jinks,National League,Business,Leitrim-Sligo
Mr. John Keating,National League,Farmer,Wexford
Mr. Daniel McMenamin,National League,Solicitor,Donegal
Capt. William Archer (Captain) Redmond,National League,Solicitor,Waterford City
Mr. Vincent Rice,National League,Solicitor,Dublin South
